1981,1981-05-25,1981-10-30,1981-07-15,1981-08-10,-1.942913776497222,1.9577941522070859,3.900707928704308,11.003129005432129
1982,1982-05-18,1982-10-18,1982-06-28,1982-08-31,-1.752229078905383,3.074370449210555,4.826599528115938,9.488923072814941
1983,1983-05-26,1983-10-27,1983-07-28,1983-08-28,-1.0984062730916166,2.3711961518628892,3.469602424954506,9.046894073486328
1984,1984-05-06,1984-10-06,1984-06-19,1984-08-28,-1.5793969815003366,1.9954201936123417,3.5748171751126785,10.332029342651367
1985,1985-05-22,1985-11-04,1985-08-02,1985-08-21,-0.46872106423293836,1.3381086924806391,1.8068297567135776,8.13110637664795
1986,1986-05-18,1986-11-16,1986-07-03,1986-08-07,-1.5953791203739276,1.6463777834283992,3.241756903802327,7.858859062194824
1987,1987-05-31,1987-10-05,1987-08-05,1987-09-02,-1.571717089512817,0.735598603999775,2.307315693512592,9.392130851745605
1988,1988-05-26,1988-10-30,1988-07-05,1988-08-07,-1.757644632322309,2.6329871935773395,4.390631825899648,10.290145874023438
1989,1989-05-01,1989-10-20,1989-06-22,1989-08-26,-0.7702916500698539,2.3227263526986044,3.093018002768458,8.801233291625977
1990,1990-05-21,1990-12-06,1990-10-06,1990-08-21,-2.015760496271707,2.160405040786482,4.176165537058189,7.991632461547852
1991,1991-05-09,1991-10-24,1991-07-07,1991-08-31,-3.0406458401916643,2.1985648901771744,5.239210730368839,7.332311630249023
1992,1992-05-29,1992-10-24,1992-07-14,1992-09-06,-1.6014849179599546,1.924379320978835,3.5258642389387895,9.117520332336426
1993,1993-06-12,1993-11-01,1993-07-11,1993-08-11,-1.8806300261915132,2.398251099569952,4.278881125761465,10.116682052612305
1994,1994-05-05,1994-10-20,1994-06-22,1994-07-31,-0.908385832721499,1.78331891141223,2.691704744133729,7.241591453552246
1995,1995-06-12,1995-10-13,1995-07-03,1995-08-25,-0.3127352922226398,1.4784213155397585,1.7911566077623984,11.92831802368164
1996,1996-04-27,1996-10-18,1996-07-06,1996-09-07,-0.9456649974503811,1.2662260775199834,2.2118910749703646,8.991222381591797
1997,1997-05-27,1997-10-10,1997-07-05,1997-08-28,-1.2212785461335458,1.8871061930538373,3.1083847391873833,9.106742858886719
1998,1998-05-29,1998-11-06,1998-07-16,1998-08-28,-1.3586496658008482,2.0250047993835825,3.3836544651844305,10.484895706176758
1999,1999-06-05,1999-10-22,1999-07-14,1999-08-31,-2.5849852391764014,3.9254311555997443,6.510416394776145,10.370293617248535
2000,2000-05-07,2000-10-13,2000-06-21,2000-08-27,-2.678254769292748,2.0369303970622563,4.715185166355004,9.154245376586914
2001,2001-05-12,2001-10-28,2001-06-13,2001-08-21,-1.5614351093737175,2.0244786835902504,3.585913792963968,7.4814982414245605
2002,2002-05-14,2002-11-14,2002-06-28,2002-08-17,-2.0702532920321306,2.5614467058452703,4.631699997877401,7.950434684753418
2003,2003-05-12,2003-11-12,2003-06-30,2003-08-27,-2.117560349435179,1.6691089652461057,3.786669314681285,8.291781425476074
2004,2004-05-11,2004-11-07,2004-07-26,2004-08-23,-1.1845943964657883,1.9029251327409606,3.087519529206749,7.280835151672363
2005,2005-05-14,2005-10-10,2005-07-18,2005-08-11,-1.941818270262238,1.9502621984854824,3.8920804687477206,10.616032600402832
2006,2006-05-11,2006-11-05,2006-06-27,2006-08-18,-1.0446427835787073,1.1482738698073065,2.192916653386014,8.572531700134277
2007,2007-05-19,2007-10-24,2007-06-18,2007-08-10,-1.1194267495341537,2.886021811040901,4.005448560575054,9.379071235656738
2008,2008-05-17,2008-10-22,2008-07-20,2008-08-26,-2.49229249759006,2.7254173120318295,5.21770980962189,11.05931568145752
2009,2009-05-27,2009-11-08,2009-07-12,2009-08-15,-1.9951960439173346,0.6671981171128596,2.6623941610301944,7.305752277374268
2010,2010-05-16,2010-09-30,2010-06-30,2010-08-14,-1.3658795449226582,1.8613188907638274,3.2271984356864856,12.888586044311523
2011,2011-06-12,2011-10-20,2011-07-19,2011-08-20,-2.2892471390734794,1.614448270605055,3.9036954096785346,11.802846908569336
2012,2012-05-12,2012-10-24,2012-06-27,2012-08-07,-1.5712868264423654,2.6465326801823017,4.217819506624667,8.421929359436035
2013,2013-05-22,2013-11-12,2013-07-07,2013-08-11,-2.125748681229199,3.056996141122517,5.182744822351716,9.228923797607422
2014,2014-04-30,2014-10-25,2014-06-19,2014-08-08,-2.545274202902237,2.5081399585366793,5.053414161438916,8.196094512939453
2015,2015-05-21,2015-11-23,2015-06-20,2015-08-25,-1.2319712926634219,2.012425007183091,3.244396299846513,6.989471912384033
2016,2016-05-18,2016-11-04,2016-06-23,2016-08-02,-1.1805644536107214,1.3106468413315635,2.4912112949422847,7.6481122970581055
2017,2017-04-30,2017-10-29,2017-06-25,2017-09-11,-2.515866028866887,2.8976565501822704,5.4135225790491575,8.893966674804688
2018,2018-05-12,2018-10-21,2018-06-28,2018-07-28,-2.225951490748405,1.6614445566080158,3.887396047356421,7.431962490081787
2019,2019-05-13,2019-11-02,2019-06-27,2019-09-14,-1.3915171222198013,2.8755394680185025,4.267056590238304,7.283952713012695
2020,2020-05-08,2020-11-23,2020-06-20,2020-08-03,-2.4109781961901495,2.3236841127207364,4.734662308910886,8.404580116271973
2021,2021-06-05,2021-10-31,2021-07-06,2021-08-04,-0.9219336300547558,1.8439086339523274,2.765842264007083,7.383553981781006
2022,2022-05-19,2022-10-20,2022-06-27,2022-08-27,-2.8069233966994442,2.7489753695781194,5.555898766277563,9.882866859436035
